gene,partial_r,t,p,eff_def,eff_wt,fdr,n_def
IMMP2L,-0.011981556512495821,-0.40828227473022627,0.6831417370622261,0.11326909,0.11397306,0.9494712014925458,60
CSNK2A3,-0.01196935203269356,-0.4078663365247092,0.6834470086874787,0.09981343,0.11296385,0.9495701866319367,60
SLC5A10,-0.011969217514875249,-0.407861752053395,0.6834503736805,0.2079784,0.21624254,0.9495701866319367,60
ORMDL1,-0.011968466210438173,-0.40783614701736026,0.6834691678428996,0.252237,0.24925429,0.9495701866319367,60
TMIGD2,-0.011958884889635809,-0.4075096082578451,0.683708865353433,0.09842779,0.108883664,0.9496198969401842,60
RPL34,-0.011958842439054032,-0.40750816150971864,0.6837099274176212,-2.031666,-2.021713,0.9496198969401842,60
ITGB1,-0.011955903750941764,-0.4074080087882379,0.6837834514957257,0.00089150097,0.008651803,0.9496324434509107,60
ANKRD1,-0.011933760875023772,-0.40665336310869066,0.6843375481911702,0.1484234,0.15469804,0.9498887860255667,60
EPPIN,-0.011932669695722068,-0.4066161749220268,0.6843648579260343,0.10838588,0.12214073,0.9498887860255667,60
PGAM4,-0.01192289298698818,-0.40628297762065835,0.684609565085736,0.19957735,0.20590433,0.9499738980707028,60
MSTN,-0.011922409979137691,-0.40626651636696237,0.6846216554389006,0.1383792,0.15597488,0.9499738980707028,60
ZNF266,-0.011922027294554566,-0.4062534742023175,0.6846312346195151,0.18543656,0.18690051,0.9499738980707028,60
MEF2B,-0.011917370136309523,-0.40609475492850033,0.6847478144750113,-0.008532812,-0.00091200846,0.9500645215660704,60
EXD1,-0.011913808631503297,-0.4059733763229787,0.6848369725548655,0.1420091,0.14772348,0.9501170875506636,60
KCNK9,-0.011902856175932043,-0.405600108979028,0.6851111818599899,0.11416667,0.12984572,0.9502662977524947,60
AREL1,-0.011900060092680118,-0.40550481653014914,0.6851811921677388,0.036772862,0.039946984,0.9502662977524947,60
HNRNPU,-0.011899272171210078,-0.40547796362383864,0.6852009211898351,-0.97523147,-0.97505206,0.9502662977524947,60
DDX50,-0.011891149513288618,-0.40520113789213574,0.6854043195613733,-0.02242409,-0.021284664,0.9503422181545856,60
RCN3,-0.011884681924260877,-0.40498071809651626,0.6855662898647368,0.14826952,0.17324907,0.9504173649647218,60
CYCS,-0.01186630452228673,-0.4043544041214003,0.6860266009083716,-0.9610894,-0.9173927,0.9504855590478102,60
