gene,t,p,fdr,eff_flag,eff_rest
LGI3,-0.6880140443660766,0.4915796189286356,0.9283827804163572,0.1951037,0.19424038
LGI4,1.2279040291480383,0.21972870438040246,0.8396451506522681,0.17094845,0.15483555
LGMN,-1.7532865740689447,0.07981335080601379,0.6809397392636568,0.30992797,0.32897776
LGR4,-0.9646714331429714,0.33490773278859853,0.8950912005343068,0.24878813,0.25855142
LGR5,0.9642411124437917,0.3351232902172502,0.8950912005343068,0.12854744,0.11553801
LGR6,0.41605769337485465,0.677443700476078,0.9688664303087403,0.1585521,0.14931603
LGSN,0.8657891811392427,0.38678237355410433,0.9084592088165362,0.09775101,0.091838896
LHB,0.9542739415507442,0.3401411015417825,0.8958882372533875,0.18602432,0.17963159
LHCGR,-0.16214428046169338,0.8712200908473965,0.9883531143802234,0.23679924,0.23480088
LHFPL1,-0.8008034324661656,0.4234072043341711,0.916677505912797,0.14770272,0.15758125
LHFPL2,-0.5178728080781762,0.6046444211669665,0.9584539521240277,0.2206255,0.2273302
LHFPL3,-0.7085867584169483,0.4787213872114448,0.9260116124924539,0.3500306,0.3527187
LHFPL4,0.0736735343804988,0.9412826868676838,0.9931352808427675,0.17160337,0.1685325
LHFPL5,0.08472343158391211,0.9324956876339368,0.9920045921346871,0.09200824,0.09434146
LHFPL6,1.6216395089424243,0.10514861158413438,0.7242035016557296,0.23485555,0.19568725
LHFPL7,-1.4062323228240026,0.15991932020838326,0.7883102203804094,0.17003094,0.18918572
LHPP,-0.8225212221905733,0.4109470556081284,0.9114807153724154,0.22099735,0.22180362
LHX1,0.3775922932589903,0.7058016254967575,0.97077190841538,0.06933698,0.066822894
LHX2,-1.6190654833084086,0.10570130307632487,0.7242035016557296,0.29056293,0.30416542
LHX3,-0.5364762363881201,0.591730920650146,0.9548448012226866,0.05149627,0.059760284
LHX4,0.5793146505897697,0.5624878319419366,0.9462346821377369,-0.023487134,-0.03567763
LHX5,-2.252680539112489,0.024463046736488383,0.5148972850337812,0.06973965,0.096878484
LHX6,-1.7959566334516261,0.07275802474710051,0.6575936872990233,0.11150964,0.12629397
LHX8,-1.0764422629489279,0.28195028488352253,0.8834552406665316,0.13464221,0.14809337
LHX9,-0.5519674319787802,0.5810755409980282,0.9523866695836402,0.10391711,0.1039436
LIAS,1.7243688151422227,0.08490406261950406,0.6868673296590937,-0.19059509,-0.26191282
LIAT1,-2.4289181323478464,0.015293016890670004,0.4566792102184601,0.20745352,0.2271867
LIF,-1.1819745333780847,0.23745474791727705,0.8493559525419769,0.06908673,0.08286821
