gene,mean_PTENdef,mean_PTENwt,diff,t,n_def,n_wt,p,fdr
MTERF4,-0.0830078999636977,-0.08206550998765107,-0.0009423899760466342,-0.05340180036100113,240,876,0.9574117707808829,0.9886259748830568
MTF1,-0.008557925549252313,-0.04616430391485471,0.0376063783656024,2.0973703391877967,240,876,0.03596080463123686,0.3408837949630459
MTF2,0.05293335448834287,0.06670514218569838,-0.013771787697355514,-1.000723570316306,240,876,0.31696046888029017,0.7291198207896368
MTFMT,-0.05563912084963033,-0.05482057018444416,-0.0008185506651861713,-0.0596698279499663,240,876,0.9524186027088606,0.9864894213032346
MTFP1,-0.023069185422694857,-0.005141080168910762,-0.017928105253784094,-1.5544338229543218,240,876,0.12008097059473895,0.5243225988253533
MTFR1,0.11523552462608296,0.11250576279692528,0.0027297618291576703,0.2509623005317007,240,876,0.8018432563888525,0.9451998485535197
MTFR1L,0.06888058321651884,0.07386481212357439,-0.004984228907055549,-0.5000023170487239,240,876,0.6170734459478867,0.8804077839214682
MTFR2,0.16118096484771874,0.16113481562991208,4.614921780665693e-05,0.005323392895890815,240,876,0.9957525670582787,0.9988409279420704
MTG1,-0.10835694323321703,-0.12894307194239613,0.0205861287091791,0.956829924639374,240,876,0.33865310548494765,0.7433111084194559
MTG2,-0.3706852141140159,-0.4089590410456645,0.0382738269316486,1.7096680255309809,240,876,0.08732727861796226,0.4646113654609334
MTHFD1,-0.0801584135470479,-0.1577880932904759,0.077629679743428,3.09135586560417,240,876,0.0019924468699791687,0.11526003818891224
MTHFD1L,0.07803574693374762,0.0814876781048347,-0.0034519311710870804,-0.238939520117316,240,876,0.8111524803251391,0.9478978432049958
MTHFD2,0.1349399399962111,0.12253767203004653,0.01240226796616456,0.8262802564962349,240,876,0.40864513060990415,0.7839150973802148
MTHFD2L,0.08214078765435737,0.088745039937465,-0.0066042522831076395,-0.5288419942311925,240,876,0.5969150634859636,0.8711455598197028
MTHFR,0.2394216384945345,0.2430825461003729,-0.0036609076058383982,-0.37064009808249887,240,876,0.7109056119750552,0.9171098270073272
MTHFS,0.15734797744776022,0.1575168210930066,-0.00016884364524638595,-0.015930545731664254,240,876,0.9872898011217054,0.9957245387782327
MTHFSD,0.12425945201016918,0.11601899792895848,0.008240454081210699,0.8424209492266529,240,876,0.39955237084433715,0.7799120848911996
MTIF2,-0.06037728052143239,-0.05309995943033888,-0.007277321091093511,-0.5736069577618967,240,876,0.566233802391096,0.8598518696781787
MTIF3,0.02558230849043893,0.0177907427599902,0.00779156573044873,0.6700992911343906,240,876,0.5027944967519442,0.8330887939668136
MTM1,0.24431146664833264,0.250144200678925,-0.005832734030592368,-0.6008216988670536,240,876,0.5479587499759832,0.8526220571412267
MTMR1,0.2075870332907413,0.2253809303097975,-0.017793897019056204,-1.920206018531578,240,876,0.05483188170982692,0.3941379548983293
MTMR10,0.19306834548394256,0.18989153342483736,0.003176812059105194,0.3539966728328374,240,876,0.7233413766987142,0.9215239282539098
