gene,partial_r,t,p,eff_def,eff_wt,fdr,n_def
KCNG4,-0.03569291865332211,-1.216956320520331,0.2238681526204235,0.070104025,0.098454274,0.6560943134745189,118
BSPRY,-0.03569200779486571,-1.2169252250278768,0.22387998001300755,0.14820278,0.16411528,0.6560943134745189,118
MAGEB4,-0.03569137331377469,-1.2169035646917346,0.22388821894087502,0.24861935,0.28095898,0.6560943134745189,118
PARK7,-0.03568933052969612,-1.2168338267845145,0.22391474657753122,0.06955897,0.079984255,0.6560943134745189,118
C9orf78,-0.0356891602772555,-1.2168280145953438,0.2239169575806018,-0.4870727,-0.4492476,0.6560943134745189,118
MYOM1,-0.03568661335413486,-1.2167410660807123,0.22395003535430952,0.22594476,0.24163869,0.6560943134745189,118
BTC,-0.03568208240690512,-1.2165863857219466,0.22400888896191684,0.25739503,0.27392718,0.6560943134745189,118
SEC22B,-0.035675560698886305,-1.2163637436368704,0.22409362044680847,-1.0876838,-1.0820404,0.6561897549028262,118
IGF2BP3,-0.035671929892213516,-1.2162397929898847,0.224140802611707,-0.020838896,-0.0078568505,0.6561897549028262,118
XYLT2,-0.03567139866598481,-1.2162216576756157,0.22414770646672547,-0.22458336,-0.19663827,0.6561897549028262,118
KRTAP4-3,-0.03565705922231549,-1.2157321296813692,0.22433412029117183,-0.26802698,-0.23547846,0.6566317458720116,118
TBL3,-0.03564562128968443,-1.2153416556421666,0.22448289358269866,-1.0866413,-1.0675255,0.6567014988921706,118
NIPAL2,-0.03564160571069147,-1.215204569850322,0.22453514095196117,-0.06599625,-0.052342985,0.6567014988921706,118
ATP10A,-0.035629102787149106,-1.2147777393330441,0.22469787415871684,0.08696808,0.10359553,0.6569700703747525,118
VWA3A,-0.03557135448628381,-1.2128063088571726,0.22545059576958687,0.05698846,0.07374016,0.6583667126396044,118
SLC43A3,-0.035566323555268856,-1.212634561856917,0.22551625661169858,0.059549898,0.08834615,0.6583667126396044,118
NANS,-0.03556248516721904,-1.2125035262058452,0.22556636223349244,0.14269118,0.17490375,0.6583667126396044,118
SMYD3,-0.03555551168355957,-1.2122654641777144,0.22565741313570195,0.19260468,0.2042163,0.6585287437508178,118
RHCE,-0.03554412031333606,-1.2118765839319683,0.2258062035565669,0.22615029,0.22523442,0.6586517799632837,118
STIM1,-0.035519348491048,-1.2110309215090065,0.22613000653783433,0.06722813,0.09394156,0.6592268490329719,118
EMILIN2,-0.03551533079728524,-1.2108937653731557,0.2261825546880557,0.13703834,0.15508342,0.6592268490329719,118
ULBP3,-0.03550776934851055,-1.2106356325944814,0.2262814758575982,0.1161341,0.1329401,0.6592268490329719,118
